,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn
137,solomon islands,Very High,Very High,High,Very High,0.7167653358934306,40.04,1.125687432376473,1.5929977609512485,0.6678182398774183,0.9896672254150428,2020.0,0.4005809876790543
138,guyana,Very High,Very High,High,Medium,0.5355597908699082,44.92,0.2639884823602274,-0.13770965459720846,0.4206959872358787,0.36365506185279095,2020.0,0.4494640889512171
139,brunei darussalam,Very High,Very High,Low,Very Low,0.4842976958961487,57.61,-0.7655514277997445,-1.2884163036031104,-0.22479273824311602,-0.7714038347113982,2020.0,0.5765801863167385
140,papua new guinea,Very High,Very High,Very High,Very High,0.3436249701542037,30.79,1.8195454222489917,2.5141207732007222,1.00676734049505,1.740881821689746,2020.0,0.3079234698988279
141,philippines,Very High,Very High,High,High,0.3245507022569908,42.3,0.17314672558140598,0.03331621246021152,0.6111016573039508,-0.27965480622894484,2020.0,0.4232194731042772
142,guatemala,Very High,Very High,High,High,0.2208343705658956,36.52,0.6463890204196457,0.41626543652356546,0.9378972045129809,0.33317815388989147,2020.0,0.3653210457778223
143,cape verde,Very High,Very High,Medium,High,-0.060511080917994356,37.23,0.005305765437679644,0.06863677196120067,0.10267800637750418,-0.1701026776055508,2020.0,0.3724331363317639
144,costa rica,Very High,Very High,Low,Low,-0.11773388460963305,43.49,-0.6816309477278814,-0.7976464242209486,-0.16402497120011406,-1.0407538050862095,2020.0,0.4351397375538415
145,bangladesh,Very High,Very High,High,High,-0.21906593281357667,28.28,0.9024762585770837,0.42741929741861434,0.9784090492083158,1.0044938292888856,2020.0,0.2827807272363017
146,djibouti,Very High,Very High,High,High,-0.23933234245436513,26.79,1.129148070729952,0.8549839650621645,0.882531016762691,1.3899855300087993,2020.0,0.2678553541019733
147,fiji,Very High,Very High,Medium,Medium,-0.26675160255660874,34.63,-0.11581657693408165,-0.6163961846764002,0.3322451263177318,-0.19069518298588806,2020.0,0.3463888610638085
148,cambodia,Very High,Very High,High,High,-0.2953630044024281,26.8,0.9751496640001408,0.9600161551572101,1.0547063567178618,0.6470079358862313,2020.0,0.2679555243914654
149,el salvador,Very High,Very High,High,Medium,-0.34662509937618763,31.69,0.07278821333051826,-0.3663638029457154,0.45445585781532405,-0.02266033908233619,2020.0,0.3169387959531203
150,kiribati,Very High,Very High,High,High,-0.3931186273756441,26.05,0.848836364098161,0.9906892726185956,0.7731490360852878,0.6033518244799162,2020.0,0.2604427526795552
151,uruguay,Very High,Very High,Low,Low,-0.6792326458338375,36.29,-1.1237274973848106,-0.8720054968546095,-1.1795218782298293,-0.9979213938951079,2020.0,0.3630171291195031
152,jamaica,Very High,Very High,Medium,Medium,-0.7340711660383243,26.05,-0.10024370434342664,-0.3226778477734398,0.21611117152443998,-0.264828202355102,2020.0,0.2604427526795552
153,chile,Very High,Very High,Low,Low,-0.7376475912690517,33.41,-0.9930883995409823,-1.0021338739635162,-0.6056040783792588,-1.2104360494201885,2020.0,0.3341680857457677
154,japan,Very High,High,Very Low,Low,-1.0249537514708207,38.67,-1.9568761809848554,-1.0086402928189613,-2.168686086207577,-2.049786568722735,2020.0,0.3868576580186316
155,netherlands,Very High,High,Very Low,Very Low,-1.2335785565965867,31.72,-1.9620671385150736,-1.2837688615635066,-1.9370933740325822,-2.1025033824963977,2020.0,0.3172393068215967
156,vanuatu,Very High,Very High,High,High,2.154488278645852,63.66,0.8211512572703298,0.5166501845790075,0.6664678450542407,1.0761557480124595,2012.0,0.6371832114594811
157,tonga,Very High,Very High,Medium,Medium,1.2377312778360576,55.27,0.3660773137878549,-0.06520955877938903,0.6745702139933079,0.2796376399010147,2012.0,0.5531403385755785
158,philippines,Very High,Very High,Medium,High,1.161434206247206,52.46,0.5019073691619017,0.49341297438098847,0.7947553532561333,0.025937973615259992,2012.0,0.5249924872282881
