,region,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn,vulnerability_categorymap,susceptibility_categorymap,wri_categorymap
68,qatar,Very Low,Very Low,Very Low,-2.164641258329291,0.28,-1.4922854820303133,-1.8256606033813103,-1.7932763253641455,-0.4575740527150589,2014.0,0.0023039166583191,1,1,1
69,vanuatu,Very High,High,High,3.515914149809421,82.55,0.8886337051631684,1.0269393205275048,0.6678182398774183,0.8133953793593565,2021.0,0.8264048883101272,4,4,5
70,solomon islands,Very High,High,Very High,1.540535280704312,51.13,1.1594286563228924,1.6227413900047127,0.6630918579962963,1.0638002447842574,2021.0,0.5116698387258339,4,5,5
71,tonga,Very High,Medium,High,1.4630460673718848,63.63,0.0347211914422505,-0.01780564997543,0.573290602254972,-0.5844238858579363,2021.0,0.6368827005910047,3,4,5
72,dominica,Very High,Medium,Medium,1.094674268606961,61.74,-0.2715453028406324,-0.4825498539358105,-0.0127807510041993,-0.3331953202178215,2021.0,0.6179505158769909,3,3,5
73,antigua and barbuda,Very High,Low,Medium,1.0779842841968996,67.73,-0.6288562128373282,-0.4472292944348217,-0.4665134115919444,-0.8315339504219833,2021.0,0.6779525192827808,2,3,5
74,brunei darussalam,Very High,Low,Very Low,0.5403283578442114,58.17,-0.7274844059114769,-1.2345059759437065,-0.2153399744808713,-0.7211581215833753,2021.0,0.5821897225282981,2,1,5
75,guyana,Very High,High,Medium,0.4282670339480855,43.93,0.1852589598185821,-0.2464597983239373,0.3990896700650341,0.2606925349511047,2021.0,0.4395472302914955,4,3,5
76,philippines,Very High,High,High,0.3758127972307504,42.68,0.2215956625301107,0.0017136065909056,0.730611599155187,-0.2598860010638208,2021.0,0.4270259441049784,4,4,5
77,papua new guinea,Very High,Very High,Very High,0.3173978517955357,30.62,1.79272547500953,2.4788002136997336,1.0020409586139272,1.701344211359498,2021.0,0.3062205749774617,5,5,5
78,guatemala,Very High,High,High,0.2375243549759569,36.79,0.6429283820661663,0.3660730624958437,0.9682810880344818,0.3298833530290375,2021.0,0.3680256435941099,4,4,5
79,cape verde,Very High,Medium,High,-0.0617032226615703,37.23,0.0035754462609405,0.0230918399730832,0.0939004400268477,-0.1239754655535951,2021.0,0.3724331363317639,3,4,5
80,costa rica,Very High,Low,Low,-0.1403845777375735,44.27,-0.7793939812136604,-0.8041528430763939,-0.4043952497257649,-1.0193375994906588,2021.0,0.4429530201342282,2,2,5
81,bangladesh,Very High,High,High,-0.2393323424543651,28.11,0.8817124284562108,0.3679320393116856,0.9622043113301816,1.0176730327323018,2021.0,0.2810778323149354,4,4,5
82,fiji,Very High,Medium,Medium,-0.259598752095154,34.51,-0.0864011509295113,-0.6089602774130343,0.3585778253696992,-0.1453916711491457,2021.0,0.3451868175899028,3,3,5
83,cambodia,Very High,High,High,-0.2905944374281247,26.89,0.9699587064699224,0.9553687131176064,1.032424842135428,0.665129340620928,2021.0,0.2688570569968947,4,4,5
84,east timor,Very High,High,High,-0.2965551461460038,28.27,0.7078153511938957,1.22863830504631,0.2971348609151089,0.5704038158713768,2021.0,0.2826805569468095,4,4,5
85,el salvador,Very High,High,Medium,-0.3478172411197634,31.62,0.0788443304491063,-0.399825385630863,0.4956428999222473,-0.0251314397279767,2021.0,0.3162376039266753,4,3,5
86,kiribati,Very High,High,High,-0.3692757925041279,26.41,0.8471060449214218,1.027868808935426,0.7765250231432321,0.560519413288815,2021.0,0.2640488831012721,4,4,5
87,nicaragua,Very High,High,High,-0.4908742503488602,26.02,0.5797717321151767,0.340047387074063,0.8082593014879116,0.3685972631440715,2021.0,0.2601422418110788,4,4,5
88,uruguay,Very High,Low,Low,-0.6804247875774132,35.97,-1.1003681884988283,-0.8729349852625303,-1.152513981766273,-0.9641496850713548,2021.0,0.3598116798557547,2,2,5
89,jamaica,Very High,Medium,Medium,-0.7412240164997792,25.92,-0.1019740235201663,-0.3431265927476964,0.2161111715244399,-0.2508252986964726,2021.0,0.2591405389161574,3,3,5
90,chile,Very High,Low,Low,-0.8246739385500855,32.51,-1.1003681884988283,-1.005851827595199,-0.8020865251516308,-1.2738609659916271,2021.0,0.3251527596914754,2,2,5
91,japan,High,Very Low,Low,-1.0225694679836692,38.51,-1.94303362757094,-0.993768478292229,-2.153831743152621,-2.040725866355386,2021.0,0.3852549333867574,1,2,4
92,netherlands,High,Very Low,Very Low,-1.2228492809044045,31.75,-1.939572989217461,-1.2967816992743972,-1.8216346166508792,-2.167575699498264,2021.0,0.3175398176900731,1,1,4
93,vanuatu,Very High,High,High,2.1711782630559133,63.66,0.8401847682144636,0.6086695369631623,0.6664678450542407,1.046502540264774,2017.0,0.6371832114594811,4,4,5
94,tonga,Very High,Medium,Medium,1.2317705691181784,55.27,0.3591560370808972,-0.015017184751668,0.6840229777555527,0.2030335198861602,2017.0,0.5531403385755785,3,3,5
95,philippines,Very High,High,High,1.1268620956835078,52.46,0.4525932726248273,0.4051115756285159,0.6482375149413405,0.1429034041755757,2017.0,0.5249924872282881,4,4,5
96,guatemala,Very High,High,High,0.2649436150782005,36.3,0.7623204052611885,0.762964612678009,0.6387847511790957,0.7219646554706586,2017.0,0.3631172994089952,4,4,5
97,bangladesh,Very High,High,High,0.1588429998999538,31.7,1.2260459446273608,1.0947919743057206,1.0189208939036498,1.2894941037527532,2017.0,0.3170389662426124,4,4,5
98,solomon islands,Very High,High,High,0.0634716604138892,29.98,1.303910307580636,1.4647283606581831,0.9243932562812036,1.2977311059048882,2017.0,0.2998096764499649,4,4,5
99,costa rica,Very High,Low,Medium,-0.1284631603018153,42.61,-0.6288562128373282,-0.6321974876110533,-0.4611118322992333,-0.6725598088857797,2017.0,0.4263247520785335,2,3,5
100,cambodia,Very High,High,High,-0.1570745621476344,27.65,1.1793273268553957,1.2156254673354192,1.0459287903672063,1.0152019320866612,2017.0,0.276469998998297,4,4,5
101,el salvador,Very High,Medium,Medium,-0.1785331135319993,32.6,0.3297406110763263,0.0955919357909026,0.2816053204485638,0.5143922012368595,2017.0,0.3260542922969047,3,3,5
102,brunei darussalam,Very High,Low,Very Low,-0.2405244841979411,41.1,-0.6997992990836457,-1.1313327626645018,-0.4962220977018561,-0.3916780354979794,2017.0,0.4111990383652208,2,1,5
103,mauritius,Very High,Low,Low,-0.3728522177348554,37.35,-0.6141484998350427,-0.9277748013298552,-0.6636710557759048,-0.1223280651231685,2017.0,0.3736351798056696,2,2,5
104,nicaragua,Very High,High,High,-0.4002714778370988,27.23,0.6135129560615961,0.7611056358621672,0.677271003639663,0.2508081323685425,2017.0,0.2722628468396273,4,4,5
105,fiji,Very High,Medium,Medium,-0.56478703845056,27.71,0.1030687989234587,-0.3040880796150246,0.2599990032777193,0.2475133315076886,2017.0,0.2770710207352499,3,3,5
106,japan,Very High,Very Low,Low,-0.5683634636812873,45.91,-1.576205962102177,-1.0541852248070789,-2.24160740665918,-0.8323576506371966,2017.0,0.4593809476109385,1,2,5
107,chile,Very High,Low,Low,-0.7746039853199017,30.95,-0.8321687161042136,-0.7771976792466919,-0.8763582404264102,-0.6190192948969024,2017.0,0.3095261945307022,2,2,5
108,netherlands,High,Very Low,Very Low,-1.1715871859306448,30.57,-1.735395326362206,-1.2967816992743972,-2.0181170634232517,-1.3438754842847738,2017.0,0.305719723530001,1,1,4
109,katar,Very Low,Very Low,Very Low,-2.163449116585715,0.28,-1.323579362298217,-1.789410555472401,-1.5049670306156822,-0.3587300268894399,2017.0,0.0023039166583191,1,1,1
110,vanuatu,Very High,High,High,4.586457435540495,99.88,0.7986571079727172,0.6235413514898949,0.8805054245279241,0.6544212378231524,2019.0,1.0,4,4,5
111,antigua and barbuda,Very High,Medium,Medium,1.497618177935583,69.95,-0.3044213671986815,-0.4862678075674938,0.3599282201928777,-0.8784848626891522,2019.0,0.7001903235500351,3,3,5
112,tonga,Very High,Medium,Medium,1.3295261920913946,61.41,0.0269347551469227,-0.0391838833576076,0.5807177737824498,-0.5967793890861385,2019.0,0.6146448963237503,3,3,5
113,solomon islands,Very High,High,Very High,1.325949766860667,48.31,1.1438557837322374,1.6506260422423351,0.6502631071761072,1.0119071312258072,2019.0,0.4834218170890514,4,5,5
114,guyana,Very High,High,Medium,0.5522497752799695,44.98,0.284752312481101,-0.2046328199675031,0.5645130359043165,0.3068197470030597,2019.0,0.4500651106881698,4,3,5
115,papua new guinea,Very High,Very High,Very High,0.4699919949732389,32.54,1.7849390387142037,2.4946015166343867,1.0054169456718716,1.6609829008140375,2019.0,0.3254532705599519,5,5,5
116,brunei darussalam,Very High,Low,Very Low,0.4103849077944486,57.62,-0.8589886633436753,-1.2410123947991516,-0.2821845182281727,-1.0102768971233105,2019.0,0.5766803566062305,2,1,5
117,guatemala,Very High,High,High,0.292362875180444,38.56,0.5278621568129931,0.3326114798106964,0.8534975280643675,0.1717329117080473,2019.0,0.3857557848342182,4,4,5
118,philippines,Very High,High,High,0.292362875180444,41.93,0.1549783742256423,0.0230918399730832,0.6522886994108741,-0.374380330978496,2019.0,0.4195131723930682,4,4,5
119,bangladesh,Very High,High,High,0.0646638021574652,32.48,0.8894988647515379,0.4013936219968329,1.0000153663791604,0.9657799191738516,2019.0,0.324852248822999,4,4,5
120,cape verde,Very High,Medium,High,-0.0259389703542961,38.26,-0.0388173735691761,0.2340857085710959,-0.2490998450603166,-0.0144233369302011,2019.0,0.382750676149454,3,4,5
121,fiji,Very High,Medium,Medium,-0.0485896634822365,38.43,-0.0985133851666875,-0.6572936746249138,0.502394874038137,-0.311779114622271,2019.0,0.3844535710708204,3,3,5
122,costa rica,Very High,Low,Low,-0.1034281836867232,44.92,-0.7681469065648538,-0.8794414041179758,-0.1674009582580584,-1.2096123492049748,2019.0,0.4494640889512171,2,2,5
123,djibouti,Very High,High,High,-0.2119130823521215,27.04,1.1525073796159342,0.9990546682898822,0.882531016762691,1.3306791145134276,2019.0,0.2703596113392767,4,4,5
124,east timor,Very High,High,Very High,-0.2202580745571522,27.92,0.965632908528074,1.6562029726898602,0.5077964533308481,0.6700715419122091,2019.0,0.2791745968145848,4,5,5
125,cambodia,Very High,High,High,-0.3704679342477037,26.82,0.7675113627914071,1.1412663947017587,0.5131980326235592,0.5547535117823206,2019.0,0.2681558649704497,4,4,5
126,el salvador,Very High,Medium,Medium,-0.3728522177348554,31.87,-0.0102671071529753,-0.3877420363278929,0.4274479613517684,-0.2079928875053714,2019.0,0.3187418611639787,3,3,5
127,nicaragua,Very High,High,High,-0.5314070696304375,25.95,0.4811435390410281,0.1615856127532767,0.7805762076127657,0.2796376399010147,2019.0,0.2594410497846338,4,4,5
128,uruguay,Very High,Low,Low,-0.6816169293209889,36.03,-1.1064243056174163,-0.9101145215793608,-0.9958681822776468,-1.1395978309118284,2019.0,0.3604127015927076,2,2,5
129,chile,Very High,Low,Low,-0.6899619215260197,34.32,-0.9740548885968484,-0.9984159203318328,-0.5772457870925246,-1.1939620451159187,2019.0,0.3432835820895522,2,2,5
130,jamaica,Very High,Medium,Medium,-0.7543375756791131,26.18,-0.1763777481199626,-0.3728702218011607,0.2282647249330407,-0.4526318514237778,2019.0,0.261744966442953,3,3,5
131,japan,High,Very Low,Low,-1.078600129931732,38.94,-2.0719424062380285,-1.0978711799793544,-2.121422267396354,-2.356203048782153,2019.0,0.3895622558349193,1,2,4
132,netherlands,Medium,Very Low,Very Low,-1.2979542107496802,31.73,-2.110874587714666,-1.3395381660387524,-2.011365089307362,-2.389151057390692,2019.0,0.3173394771110888,1,1,3
133,vanuatu,Very High,High,High,3.7555346402681584,86.77,0.8453757257446821,0.9479328058542406,0.6354087641211514,0.799392475700727,2020.0,0.8686767504758088,4,4,5
134,tonga,Very High,High,High,1.368866869629396,61.21,0.0874959263328037,0.0137969558938757,0.575991391901327,-0.4641636544367667,2020.0,0.6126414905339076,4,4,5
135,dominica,Very High,Medium,Medium,1.2198491516824204,62.74,-0.1876248227687686,-0.2315879837972051,-0.0073791717114882,-0.3208398169896193,2020.0,0.6279675448262045,3,3,5
136,antigua and barbuda,Very High,Low,Medium,1.0970585520941123,68.92,-0.6686535539023356,-0.4909152496070977,-0.5407851268667238,-0.8142362459024999,2020.0,0.689872783732345,2,3,5
137,solomon islands,Very High,High,Very High,0.7167653358934306,40.04,1.125687432376473,1.5929977609512485,0.6678182398774183,0.9896672254150428,2020.0,0.4005809876790543,4,5,5
138,guyana,Very High,High,Medium,0.5355597908699082,44.92,0.2639884823602274,-0.1377096545972084,0.4206959872358787,0.3636550618527909,2020.0,0.4494640889512171,4,3,5
139,brunei darussalam,Very High,Low,Very Low,0.4842976958961487,57.61,-0.7655514277997445,-1.2884163036031104,-0.224792738243116,-0.7714038347113982,2020.0,0.5765801863167385,2,1,5
140,papua new guinea,Very High,Very High,Very High,0.3436249701542037,30.79,1.819545422248992,2.5141207732007222,1.00676734049505,1.740881821689746,2020.0,0.3079234698988279,5,5,5
141,philippines,Very High,High,High,0.3245507022569908,42.3,0.1731467255814059,0.0333162124602115,0.6111016573039508,-0.2796548062289448,2020.0,0.4232194731042772,4,4,5
142,guatemala,Very High,High,High,0.2208343705658956,36.52,0.6463890204196457,0.4162654365235654,0.9378972045129808,0.3331781538898914,2020.0,0.3653210457778223,4,4,5
143,cape verde,Very High,Medium,High,-0.0605110809179943,37.23,0.0053057654376796,0.0686367719612006,0.1026780063775041,-0.1701026776055508,2020.0,0.3724331363317639,3,4,5
144,costa rica,Very High,Low,Low,-0.117733884609633,43.49,-0.6816309477278814,-0.7976464242209486,-0.164024971200114,-1.0407538050862095,2020.0,0.4351397375538415,2,2,5
145,bangladesh,Very High,High,High,-0.2190659328135766,28.28,0.9024762585770836,0.4274192974186143,0.9784090492083158,1.0044938292888856,2020.0,0.2827807272363017,4,4,5
146,djibouti,Very High,High,High,-0.2393323424543651,26.79,1.129148070729952,0.8549839650621645,0.882531016762691,1.389985530008799,2020.0,0.2678553541019733,4,4,5
147,fiji,Very High,Medium,Medium,-0.2667516025566087,34.63,-0.1158165769340816,-0.6163961846764002,0.3322451263177318,-0.190695182985888,2020.0,0.3463888610638085,3,3,5
148,cambodia,Very High,High,High,-0.2953630044024281,26.8,0.9751496640001408,0.96001615515721,1.0547063567178618,0.6470079358862313,2020.0,0.2679555243914654,4,4,5
149,el salvador,Very High,High,Medium,-0.3466250993761876,31.69,0.0727882133305182,-0.3663638029457154,0.454455857815324,-0.0226603390823361,2020.0,0.3169387959531203,4,3,5
